county_fips,2_or_more_cars_p,0_or_1_car_p,EV DC Fast Count,EV Level1 EVSE Num,EV Level2 EVSE Num,nhb_percentage,hisp_percentage,pov_percentage,white_percentage,state_y,county_name,state_po,party,state_party
47113,0.5867900023854329,0.41320999761456706,13.0,0.0,3.0,0.3713171310988718,0.03779611392068139,0.18670788886386439,0.5624577711349071,TENNESSEE,MADISON,TN,REPUBLICAN,REPUBLICAN
47115,0.6814885166637886,0.3185114833362114,24.0,0.0,2.0,0.021219692437625365,0.01752472111764085,0.17890699229334553,0.9190977231938628,TENNESSEE,MARION,TN,REPUBLICAN,REPUBLICAN
47117,0.6766923388731252,0.32330766112687476,0.0,0.0,2.0,0.07335213362670055,0.05091573956428771,0.144442034150423,0.8520561529641452,TENNESSEE,MARSHALL,TN,REPUBLICAN,REPUBLICAN
47119,0.6655546288573811,0.33444537114261885,0.0,0.0,4.0,0.11557654607021921,0.056652111923008376,0.12237123507396186,0.7953573338085903,TENNESSEE,MAURY,TN,REPUBLICAN,REPUBLICAN
47121,0.686847599164927,0.31315240083507306,0.0,0.0,0.0,0.019729142283899014,0.020147132586523994,0.16552415983949173,0.9429025246614279,TENNESSEE,MEIGS,TN,REPUBLICAN,REPUBLICAN
47123,0.6640669153385328,0.33593308466146715,0.0,0.0,0.0,0.020381027116575117,0.04305083267939663,0.18855174819077514,0.911238992065568,TENNESSEE,MONROE,TN,REPUBLICAN,REPUBLICAN
47125,0.6639545965321536,0.33604540346784634,9.0,0.0,9.0,0.1913568617067321,0.09920717766450936,0.13247312703997718,0.6385096773208002,TENNESSEE,MONTGOMERY,TN,REPUBLICAN,REPUBLICAN
47127,0.7486548808608762,0.2513451191391238,0.0,0.0,0.0,0.013286934514394179,0.002056311293894337,0.07782347358430876,0.9310344827586207,TENNESSEE,MOORE,TN,REPUBLICAN,REPUBLICAN
47129,0.7090594652121858,0.2909405347878143,0.0,0.0,2.0,0.050518614558251525,0.012641229857380996,0.18952583811817003,0.9323022781996666,TENNESSEE,MORGAN,TN,REPUBLICAN,REPUBLICAN
47131,0.613527329925285,0.3864726700747149,0.0,0.0,0.0,0.0995740498034076,0.042103538663171694,0.22326343381389252,0.8317824377457405,TENNESSEE,OBION,TN,REPUBLICAN,REPUBLICAN
47133,0.6563405393358592,0.3436594606641408,0.0,0.0,2.0,0.0063170332666787855,0.013815669878203964,0.16756044355571714,0.9622795855299037,TENNESSEE,OVERTON,TN,REPUBLICAN,REPUBLICAN
47135,0.6680735604461863,0.3319264395538137,0.0,0.0,0.0,0.0346309403437816,0.024266936299292215,0.29663801820020225,0.9221435793731041,TENNESSEE,PERRY,TN,REPUBLICAN,REPUBLICAN
47137,0.7258791704238052,0.27412082957619477,0.0,0.0,0.0,0.005110062893081761,0.005306603773584905,0.1694182389937107,0.9887971698113207,TENNESSEE,PICKETT,TN,REPUBLICAN,REPUBLICAN
47139,0.6750281848928974,0.3249718151071026,0.0,0.0,6.0,0.002204743177213681,0.019961863901799548,0.1614229531641044,0.9510785365272315,TENNESSEE,POLK,TN,REPUBLICAN,REPUBLICAN
47141,0.6138219222115076,0.38617807778849245,9.0,0.0,4.0,0.02227891156462585,0.06176085818942962,0.18720565149136578,0.8855442176870748,TENNESSEE,PUTNAM,TN,REPUBLICAN,REPUBLICAN
